,log_odds,odds_multiplier,points
seniority=student,-1.471,0.23,-42.0
text=copy_paste,-0.95,0.39,-27.0
text=vague,-0.899,0.41,-26.0
spend=none,-0.571,0.56,-16.0
channel=meta_leadads,-0.489,0.61,-14.0
email=free,-0.391,0.68,-11.0
no_company=yes,-0.391,0.68,-11.0
form_variant=D,-0.381,0.68,-11.0
ip_country=mismatch,-0.331,0.72,-10.0
hesitation_90s=yes,-0.312,0.73,-9.0
search_term=not_google,-0.31,0.73,-9.0
seniority=not_asked/blank,-0.277,0.76,-8.0
channel=meta,-0.259,0.77,-7.0
time_on_page=>600s,-0.214,0.81,-6.0
time_on_page=300-600s,-0.09,0.91,-3.0
c_budget=£5k-£20k,-0.082,0.92,-2.0
c_timeline=This month,0.002,1.0,0.0
c_timeline=Next 6 months,0.019,1.02,1.0
ip_type=dc,0.022,1.02,1.0
edits_1_4=yes,0.05,1.05,1.0
channel=chatgpt,0.053,1.05,2.0
seniority=mid,0.077,1.08,2.0
c_budget=Under £5k,0.122,1.13,4.0
c_timeline=Just researching,0.126,1.13,4.0
crm=hubspot_sf,0.131,1.14,4.0
c_budget=£50k+,0.149,1.16,4.0
c_budget=£20k-£50k,0.152,1.16,4.0
search_term=brand,0.155,1.17,4.0
business_hours=wkday_9-18,0.16,1.17,5.0
channel=organic_direct,0.16,1.17,5.0
band=11-50,0.193,1.21,6.0
c_timeline=This quarter,0.195,1.22,6.0
form_variant=B,0.213,1.24,6.0
channel=linkedin,0.226,1.25,7.0
viewed_pricing=yes,0.229,1.26,7.0
spend=£5k-£25k,0.246,1.28,7.0
form_variant=C,0.342,1.41,10.0
hiring=hiring,0.36,1.43,10.0
sessions_3plus=yes,0.406,1.5,12.0
spend=£100k+,0.429,1.54,12.0
seniority=senior,0.481,1.62,14.0
spend=£25k-£100k,0.484,1.62,14.0
text=specific,0.507,1.66,15.0
time_on_page=60-300s,0.508,1.66,15.0
band=1000+,0.703,2.02,20.0
band=201-1000,0.873,2.39,25.0
band=51-200,1.078,2.94,31.0
